src_id,wfs_id,object_id,VersieId,GeometrieMethode,GebouwStatus,area_m2,centroid_x,centroid_y,panel_m2,kwh_year,co2_tons,rank
Gebouw.20591951,https://data.vlaanderen.be/id/gebouw/20591951,20591951,2025-06-17 05:23:05,IngemetenGRB,Gerealiseerd,64277.72433903354,171407.69219697607,174258.31065508857,38566.63460342013,7713326.920684026,1774.065191757326,1
Gebouw.19740151,https://data.vlaanderen.be/id/gebouw/19740151,19740151,2024-04-15 17:06:30,IngemetenGRB,Gerealiseerd,19750.47118784952,173124.16317773517,179225.92922578764,11850.282712709713,2370056.5425419426,545.1130047846468,2
Gebouw.16580848,https://data.vlaanderen.be/id/gebouw/16580848,16580848,2023-11-03 20:01:35,IngemetenGRB,Gerealiseerd,11342.750735953829,170512.0244885159,181694.9095344208,6805.650441572297,1361130.0883144594,313.0599203123257,3
Gebouw.19697068,https://data.vlaanderen.be/id/gebouw/19697068,19697068,2023-11-03 04:05:57,IngemetenGRB,Gerealiseerd,8345.70085731566,171291.77563565722,175336.38992839522,5007.420514389396,1001484.1028778792,230.34134366191222,4
Gebouw.14572288,https://data.vlaanderen.be/id/gebouw/14572288,14572288,2025-09-17 09:18:33,IngemetenGRB,Gerealiseerd,8147.909897948479,171981.86527026154,174663.2703684371,4888.745938769087,977749.1877538174,224.88231318337802,5
Gebouw.14137556,https://data.vlaanderen.be/id/gebouw/14137556,14137556,2023-11-02 15:37:47,IngemetenGRB,Gehistoreerd,7602.286771269155,171888.1650337698,172840.3390658173,4561.372062761493,912274.4125522986,209.8231148870287,6
Gebouw.13971133,https://data.vlaanderen.be/id/gebouw/13971133,13971133,2023-11-02 13:53:01,IngemetenGRB,Gerealiseerd,6815.707035154141,175327.91564673922,171414.87551727518,4089.424221092484,817884.8442184968,188.1135141702543,7
Gebouw.14120699,https://data.vlaanderen.be/id/gebouw/14120699,14120699,2023-11-02 16:02:11,IngemetenGRB,Gehistoreerd,6814.365465910127,175684.11940624827,171244.39570540073,4088.6192795460756,817723.8559092152,188.07648685911948,8
Gebouw.30664614,https://data.vlaanderen.be/id/gebouw/30664614,30664614,2025-09-23 18:35:32,IngemetenGRB,Gerealiseerd,6234.197476281041,172838.4791447919,174374.70202020658,3740.5184857686245,748103.6971537248,172.0638503453567,9
Gebouw.14016377,https://data.vlaanderen.be/id/gebouw/14016377,14016377,2023-11-02 13:56:25,IngemetenGRB,Gerealiseerd,6211.541717934924,175291.87313326704,171121.69541014434,3726.9250307609545,745385.006152191,171.43855141500393,10
Gebouw.14137576,https://data.vlaanderen.be/id/gebouw/14137576,14137576,2024-01-08 09:38:53,IngemetenGRB,Gerealiseerd,6119.423018835683,171965.50424767967,172326.75616289175,3671.65381130141,734330.762260282,168.89607531986485,11
Gebouw.14124260,https://data.vlaanderen.be/id/gebouw/14124260,14124260,2025-03-25 20:31:16,IngemetenGRB,Gerealiseerd,6061.5897780114465,170803.6157598094,173794.41990219432,3636.9538668068676,727390.7733613736,167.29987787311595,12
Gebouw.13965454,https://data.vlaanderen.be/id/gebouw/13965454,13965454,2023-11-02 15:14:22,IngemetenGRB,Gerealiseerd,5513.127310879878,174461.60570938632,170775.95445125276,3307.8763865279266,661575.2773055853,152.16231378028462,13
Gebouw.14542407,https://data.vlaanderen.be/id/gebouw/14542407,14542407,2023-11-02 17:10:58,IngemetenGRB,Gerealiseerd,4331.603403763323,172345.2089657151,172477.2852176846,2598.9620422579933,519792.40845159866,119.5522539438677,14
Gebouw.12641129,https://data.vlaanderen.be/id/gebouw/12641129,12641129,2023-11-02 09:55:42,IngemetenGRB,Gerealiseerd,4253.520794834459,177217.4598676678,172522.5365172497,2552.112476900675,510422.495380135,117.39717393743106,15
Gebouw.14571733,https://data.vlaanderen.be/id/gebouw/14571733,14571733,2023-11-02 15:44:34,IngemetenGRB,Gerealiseerd,4160.738713022899,174735.38657806086,171130.31967276896,2496.443227813739,499288.64556274784,114.836388479432,16
Gebouw.13958547,https://data.vlaanderen.be/id/gebouw/13958547,13958547,2024-04-15 17:08:54,IngemetenGRB,Gerealiseerd,4156.38276933579,171269.42999243777,174548.05999473543,2493.8296616014736,498765.9323202947,114.71616443366779,17
Gebouw.14572185,https://data.vlaanderen.be/id/gebouw/14572185,14572185,2025-06-21 00:47:49,IngemetenGRB,Gerealiseerd,4152.967305023196,173496.85971139834,175353.9119584753,2491.7803830139173,498356.07660278346,114.6218976186402,18
Gebouw.14246292,https://data.vlaanderen.be/id/gebouw/14246292,14246292,2023-11-02 16:22:30,IngemetenGRB,Gehistoreerd,4089.6144087610983,177760.75686895184,175197.34209237108,2453.768645256659,490753.7290513318,112.87335768180631,19
Gebouw.14031359,https://data.vlaanderen.be/id/gebouw/14031359,14031359,2023-11-02 15:55:08,IngemetenGRB,Gerealiseerd,4070.739873134339,173066.66585630694,175408.39298540525,2442.4439238806035,488488.7847761207,112.35242049850777,20
